flat,sequence,file,jd,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm,v_resid,dn_resid,v_corr_norm,correction_mode
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0064_flat_4s_masked_clipmean_cal.fits,2461181.701130209,236356.8942680359,344104.6417388916,1507.322535276413,156.80578558104867,228.288659981979,8,True,ok,41.682000160217285,0.9889815485433476,0.9911029981652577,-0.011018451456652367,-0.00889700183474229,0.9912920612683104,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0066_flat_4s_masked_clipmean_cal.fits,2461181.701513542,238193.51711273193,344718.56479644775,1500.4917404651642,158.74363762834847,229.7370625243044,8,True,ok,42.234000116586685,1.0012036735847472,0.9973911602770429,0.0012036735847471558,-0.0026088397229571125,1.0018811779271362,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0069_flat_4s_masked_clipmean_cal.fits,2461181.7020890047,205156.745552063,306194.32649993896,1310.3910126686096,156.56147178105377,233.66638166754103,8,True,ok,43.062666580080986,0.9874406497853451,1.0144500890206667,-0.01255935021465493,0.01445008902066669,0.9836880244426458,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0070_flat_4s_masked_clipmean_cal.fits,2461181.702280787,207114.64324188232,301887.14350509644,1278.425661087036,162.0075766202739,236.13977151272445,8,True,ok,43.33883285522461,1.0217894920647481,1.0251881786453827,0.021789492064748117,0.025188178645382697,1.0152482314963245,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0074_flat_4s_masked_clipmean_cal.fits,2461181.7030475694,190749.42248535156,270367.82552337646,1168.218091726303,163.28237324545856,231.43608837956583,8,True,ok,44.44299973547459,1.0298296950188752,1.0047673900873313,0.029829695018875224,0.004767390087331291,1.0285916245243152,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0076_flat_4s_masked_clipmean_cal.fits,2461181.703431134,221251.95748901367,321855.4677581787,1387.6427373886108,159.44446760510218,231.94404372689968,8,True,ok,44.99533295631409,1.005623841584972,1.0069726510394803,0.005623841584972089,0.006972651039480304,1.0038130744015223,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0078_flat_4s_masked_clipmean_cal.fits,2461181.703814236,218592.03744506836,318891.96939086914,1360.8300890922546,160.63139637872115,234.3363598049091,8,True,ok,45.54699964821339,1.0131098578196065,1.0173587632434822,0.013109857819606496,0.017358763243482178,1.0086018624174853,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0084_flat_4s_masked_clipmean_cal.fits,2461181.704964236,220031.4596633911,317108.1177062988,1374.9682359695437,160.02657654723086,230.62941340073473,8,True,ok,47.20299951732159,1.0092952303725355,1.0012652538440001,0.009295230372535546,0.0012652538440001138,1.00896664944593,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0086_flat_4s_masked_clipmean_cal.fits,2461181.705346875,222610.12046813965,327759.5738182068,1428.9525470733645,155.78552340598512,229.3705095312582,8,True,ok,47.753999680280685,0.9825467064737416,0.9957997900774752,-0.01745329352625835,-0.004200209922524789,0.9836374827435197,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0087_flat_4s_masked_clipmean_cal.fits,2461181.705539352,219484.14083862305,313040.16999816895,1382.9650421142578,158.70548723565616,226.3543621605919,8,True,ok,48.031166419386864,1.0009630572433121,0.9827053477069624,0.0009630572433121376,-0.017294652293037616,1.005454403310122,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0089_flat_4s_masked_clipmean_cal.fits,2461181.705923148,237102.0188446045,345306.8000564575,1513.339319229126,156.6747231317435,228.17539706319928,8,True,ok,48.583832904696465,0.9881549314412464,0.9906112732657713,-0.011845068558753558,-0.009388726734228747,0.9905931429863902,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0092_flat_4s_masked_clipmean_cal.fits,2461181.706498958,227906.33555603027,322192.42029571533,1368.7787373065948,166.50341603383717,235.38678057617065,8,True,ok,49.41299960017204,1.0501449651026344,1.021919108798161,0.05014496510263444,0.021919108798160947,1.0444526677716133,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0094_flat_4s_masked_clipmean_cal.fits,2461181.706882639,220775.95561408997,317205.21276474,1379.0783767700195,160.0894911652345,230.0124620238595,8,True,ok,49.96549978852272,1.0096920358609855,0.9985867924636079,0.009692035860985548,-0.0014132075363920693,1.0100590397187454,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0100_flat_4s_masked_clipmean_cal.fits,2461181.7080314816,229245.4943847656,333434.41301727295,1464.4891443252563,156.53615137610828,227.67967540715256,8,True,ok,51.61983333528042,0.9872809527869215,0.9884591242295373,-0.012719047213078483,-0.0115408757704627,0.9902780680871277,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0102_flat_4s_masked_clipmean_cal.fits,2461181.7084144675,230306.75847625732,333333.4791030884,1450.2337012290957,158.80665183898898,229.84811263218,8,True,ok,52.17133305966854,1.0016011072086952,0.9978732783764297,0.0016011072086952183,-0.0021267216235703046,1.002153407575154,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0104_flat_4s_masked_clipmean_cal.fits,2461181.708799537,218771.8054428101,327442.44592285156,1375.4694209098816,159.05246755547,238.0586881431696,8,True,ok,52.72583283483982,1.0031514786254185,1.0335190524864815,0.0031514786254185356,0.03351905248648146,0.9944467263125341,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0105_flat_4s_masked_clipmean_cal.fits,2461181.7089913194,219536.59689331055,316643.25733566284,1360.9344727993011,161.3131280610054,232.6660567899059,8,True,ok,53.0019997805357,1.0174095719681515,1.0101072321067852,0.017409571968151516,0.010107232106785213,1.01478476769918,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,2461181.672184375,188058.0267791748,275963.5729980469,1210.6643466949463,155.33457088462538,227.94391670277048,8,True,ok,0.0,0.982777269825039,0.9910635315368268,-0.01722273017496101,-0.008936468463173197,0.9855274697138511,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,2461181.672376852,169921.66638183594,244363.24267578125,1049.415557861328,161.9202851615144,232.85650841101017,8,True,ok,0.2771667391061783,1.0244440427786017,1.012422691095865,0.024444042778601682,0.012422691095864913,1.0206209572038707,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0003_flat_4s_masked_clipmean_cal.fits,2461181.6725682872,198199.65267944336,299064.12243652344,1281.463535308838,154.6666348423847,233.37700542875595,8,True,ok,0.5528334528207779,0.9785513440940656,1.0146857285132405,-0.021448655905934366,0.01468572851324046,0.9740318083187558,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0004_flat_4s_masked_clipmean_cal.fits,2461181.6727600694,170219.9238128662,252501.66204833984,1072.9234743118286,158.65057283982438,235.33986168985072,8,True,ok,0.8289997279644012,1.0037570898979673,1.0232199122114016,0.003757089897967303,0.023219912211401628,0.9966111574476727,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0005_flat_4s_masked_clipmean_cal.fits,2461181.6729527777,195185.70652008057,285622.5554122925,1249.5092239379885,156.20989647833716,228.58779266319976,8,True,ok,1.10649973154068,0.9883153164575236,0.9938630007766521,-0.011684683542476426,-0.006136999223347872,0.9902039791491948,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0006_flat_4s_masked_clipmean_cal.fits,2461181.6731434027,188493.9375076294,277009.0774459839,1200.902629852295,156.9602171083706,230.6673918101542,8,True,ok,1.3809996843338013,0.9930624764495216,1.0029047637882489,-0.006937523550478386,0.0029047637882488875,0.9921685348348459,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0007_flat_4s_masked_clipmean_cal.fits,2461181.6733350693,201065.762802124,286432.40783691406,1286.2278089523315,156.32204606577253,222.6918169886416,8,True,ok,1.6569996625185013,0.9890248691651021,0.9682282457087981,-0.010975130834897873,-0.03177175429120194,0.9988026326607283,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0008_flat_4s_masked_clipmean_cal.fits,2461181.6735259257,156343.6325263977,228920.1954650879,972.122612953186,160.82707103319555,235.4848991421537,8,True,ok,1.931832879781723,1.0175274498383131,1.023850511754323,0.017527449838313114,0.023850511754323067,1.0101874502573644,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0009_flat_4s_masked_clipmean_cal.fits,2461181.6737177083,200657.6000289917,292133.57302856445,1276.1754269599917,157.23355566168755,228.91333499851424,8,True,ok,2.2079998254776,0.9947918462584244,0.9952784065535135,-0.005208153741575572,-0.004721593446486483,0.9962449175499593,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0010_flat_4s_masked_clipmean_cal.fits,2461181.6739096064,176343.88552856445,251439.469039917,1109.9715733528135,158.8724339992733,226.52784546581793,8,True,ok,2.4843330681324005,1.0051607703750285,0.9849066812847891,0.0051607703750284895,-0.015093318715210913,1.0098057421134101,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0011_flat_4s_masked_clipmean_cal.fits,2461181.67410081,222007.7739944458,322548.65689086914,1415.4263288974762,156.84869601611496,227.8809220272971,8,True,ok,2.7596665173768997,0.992356900131573,0.9907896408077135,-0.007643099868427039,-0.009210359192286521,0.995191389944963,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0012_flat_4s_masked_clipmean_cal.fits,2461181.674292361,174665.01085662842,251567.26734924316,1113.3429222106934,156.883389090764,225.9566772560266,8,True,ok,3.0354995280504227,0.9925763977295079,0.9824233336645256,-0.007423602270492102,-0.01757666633547439,0.9979856201757923,per_sequence_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0013_flat_4s_masked_clipmean_cal.fits,2461181.6744832178,187068.294921875,277295.2137527466,1205.1264655590055,155.22710708631078,230.09636057085623,8,True,ok,3.310333415865898,0.9820973633643509,1.000422011693687,-0.01790263663564906,0.00042201169368705216,0.9819674891844287,per_sequence_beta
