file,jd,minutes,set,target_flux_rate,bright_comp_ensemble_flux_rate,diff_flux,diff_flux_err,n_bright_comps,good,reject_reason
light_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,2461181.684255671,17.382666394114494,generic_V,217331.67095947263,17323.445682525635,12.545522117386708,0.0335958520966919,2,True,ok
light_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,2461181.684446991,17.65816681087017,generic_V,211296.21283721924,16963.637644290924,12.455831542023684,0.03615905600989705,2,True,ok
light_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,2461181.684639352,17.935166582465172,generic_V,184285.02447509769,14701.321319580078,12.535269481502736,0.04899865001729998,2,True,ok
light_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,2461181.6848310186,18.211166560649872,generic_V,227276.5429058075,18484.229105949402,12.295700383450422,0.030726327774099105,2,True,ok
light_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,2461181.6850228007,18.487332835793495,generic_V,226374.03174209595,18672.333626031876,12.123499733664705,0.029718300009545055,2,True,ok
light_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,2461181.685213773,18.762333020567894,generic_V,224703.19215011597,17991.560763835907,12.489366270089395,0.031231493423067466,2,True,ok
light_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,2461181.685405671,19.038666263222694,generic_V,205259.9503326416,16172.439392089844,12.691959781468526,0.039341501846064095,2,True,ok
light_V_8s_2026_05_20-0071_flat_0p3_late_bias_cal.fits,2461181.6855980325,19.31566670536995,generic_V,234139.21131896973,22151.20775604248,10.57004267657146,4.117474931757486,3,True,ok
light_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,2461181.6857905095,19.592833444476128,generic_V,221500.51607322693,20040.720978736877,11.052522327327349,3.601099586069906,3,True,ok
light_V_8s_2026_05_20-0073_flat_0p3_late_bias_cal.fits,2461181.68598206,19.86866645514965,generic_V,194727.6637039185,17190.055256843567,11.327925407708918,3.5396942937043523,3,True,ok
light_V_8s_2026_05_20-0074_flat_0p3_late_bias_cal.fits,2461181.686173727,20.14466643333435,generic_V,233022.48516845703,21019.255429267883,11.08614365302346,3.774267027121362,3,True,ok
light_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,2461181.686365625,20.42099967598915,generic_V,226286.4430541992,20271.25547027588,11.162921970274965,3.767034243050172,3,True,ok
light_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,2461181.686557176,20.696833357214928,generic_V,180922.75484848025,17754.799285888672,10.19007604283512,4.059268187721792,3,True,ok
light_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,2461181.6867488427,20.972833335399628,generic_V,228740.64950561523,20402.259523391724,11.211535136260673,3.4628637194061325,3,True,ok
light_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,2461181.6869399305,21.24799981713295,generic_V,246467.4213256836,22489.82587814331,10.95906311863501,3.8621552623749515,3,True,ok
light_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,2461181.6871314817,21.523833498358727,generic_V,216928.78143310547,19444.826391220093,11.156118191472007,4.13242218249646,3,True,ok
light_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,2461181.687323264,21.79999977350235,generic_V,233840.31356048584,21731.505254745483,10.76042873327527,3.9464237397859208,3,True,ok
