file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason
light_V0399_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,2461181.703622338,20.967499762773514,143.2032717537963,2049.422223540286,250204.75310325623,1747.1999769210815,11,32,True,ok
light_V0399_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,2461181.703814236,21.243833005428314,146.7991181771761,2140.7606448284023,218499.7227783203,1488.4266710281372,11,29,True,ok
light_V0399_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,2461181.7040060186,21.51999995112419,145.9987026152453,2056.8520866158833,268106.16564941406,1836.3599185943604,11,33,True,ok
light_V0399_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,2461181.7041976852,21.79599992930889,147.2745252603329,2113.1273188346836,261798.965467453,1777.6255941390991,11,34,True,ok
light_V0399_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,2461181.704389352,22.07199990749359,145.0288203086938,2144.626564230091,249815.5061340332,1722.5231895446777,11,31,True,ok
light_V0399_V_8s_2026_05_20-0082_flat_0p3_late_bias_cal.fits,2461181.704580671,22.347499653697014,,,287236.0617656708,1850.076223373413,11,32,False,saturated
light_V0399_V_8s_2026_05_20-0083_flat_0p3_late_bias_cal.fits,2461181.704772338,22.623499631881714,148.54153380817777,2117.0076022143876,227200.09252929688,1529.5391578674316,11,32,True,ok
light_V0399_V_8s_2026_05_20-0084_flat_0p3_late_bias_cal.fits,2461181.704964236,22.899832874536514,147.81687957423517,2072.7040331462495,219999.396982193,1488.3239154815674,11,30,True,ok
light_V0399_V_8s_2026_05_20-0085_flat_0p3_late_bias_cal.fits,2461181.7051554397,23.175166323781013,147.36946826707728,2170.801051675972,244224.54489135742,1657.22620677948,11,32,True,ok
light_V0399_V_8s_2026_05_20-0086_flat_0p3_late_bias_cal.fits,2461181.705346875,23.450833037495613,144.85393207039155,2076.840637373265,222623.6554222107,1536.8837575912476,11,30,True,ok
light_V0399_V_8s_2026_05_20-0087_flat_0p3_late_bias_cal.fits,2461181.705539352,23.72799977660179,148.42821532563576,2089.220986405075,219467.5806465149,1478.610924243927,11,30,True,ok
light_V0399_V_8s_2026_05_20-0088_flat_0p3_late_bias_cal.fits,2461181.7057315973,24.00483325123787,,,286215.9263305664,1816.613437652588,11,33,False,saturated
light_V0399_V_8s_2026_05_20-0089_flat_0p3_late_bias_cal.fits,2461181.705923148,24.280666261911392,150.5139697924534,2234.237107048648,237148.92865753174,1575.594139099121,11,36,True,ok
light_V0399_V_8s_2026_05_20-0090_flat_0p3_late_bias_cal.fits,2461181.7061149306,24.55683320760727,149.79594397479906,2146.595768855504,251952.29607009888,1681.9700813293457,11,32,True,ok
light_V0399_V_8s_2026_05_20-0091_flat_0p3_late_bias_cal.fits,2461181.706306713,24.833000153303146,144.40604766018717,2075.573173494343,247653.96411132812,1714.9833273887634,11,33,True,ok
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,147.69977553114958,2084.4285956409285,227921.80810546875,1543.1425490379333,11,31,True,ok
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,148.33163157522645,2154.3576034486164,260963.2859916687,1759.3232355117798,11,34,True,ok
