flat,file,jd,object_id,role,flux_rate,flag,x,y,match_dist
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,TYC_3452_787_1,comparison,19807.703760147095,ok,357.9205978606947,756.7652830347437,3.369377762223021
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,HD_103187,comparison,76306.08942317963,ok,61.54672128477742,1515.8212910826983,4.54629467374879
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,target,target,222153.91143798828,ok,1923.6254164396014,633.8055430830517,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,DN_UMa,check,318570.84547424316,ok,1848.8947848869977,688.3426189874308,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774272862760870784_src1,comparison,3405.8341608047485,ok,594.5589330273414,259.36703778189394,2.8439358409584075
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774271076054448768_src2,comparison,2323.7754440307617,ok,1501.368348837207,322.59722767759666,0.9534750827996817
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774384016513181696_src3,comparison,1496.6222438812256,ok,385.29323248709295,1256.093878368695,3.2352939384400283
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774289041901756032_src4,comparison,1390.656141281128,ok,2036.4313788603204,1443.885759556683,1.560442665331265
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774287774887292672_src5,comparison,1376.6947011947632,ok,2028.627873682784,1082.1780804737289,0.8106766044488763
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774289488578357504_src6,comparison,1201.5932426452637,ok,935.1256782179556,1101.6763078844235,1.8428391545735319
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,gaia_774288805679445888_src7,comparison,1087.9728507995605,ok,1939.744201901411,1353.1040571598296,1.6033365421353805
