file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason,sequence,minutes_combined,diff_flux_norm
light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,4.138666614890099,158.53911907120417,95.89471042071456,185470.78840637207,1169.8739686012268,8,23,True,ok,V_8 generic,4.138666614890099,1.0041627251354017
light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,4.414832890033722,157.15629219367202,94.4311283208474,209430.39459228516,1332.6249408721924,8,23,True,ok,V_8 generic,4.414832890033722,0.9954041095087467
light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,4.691166803240776,155.50246533940262,94.41590543921744,127894.95864868164,822.4625787734985,8,16,True,ok,V_8 generic,4.691166803240776,0.9849290211481295
light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,4.968332871794701,158.73574499432667,95.5429962541663,219931.70593070984,1385.5209860801697,8,24,True,ok,V_8 generic,4.968332871794701,1.0054081238985062
light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,5.2435000240802765,161.0552717291604,102.0178580357074,196556.83554077148,1220.4309329986572,8,23,True,ok,V_8 generic,5.2435000240802765,1.0200996542963066
light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,5.5195000022649765,160.22351598672705,99.060634804162,203771.92554092407,1271.7978649139404,8,23,True,ok,V_8 generic,5.5195000022649765,1.0148314396256182
light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,5.7954999804496765,159.41117320468243,96.06488206616233,208552.9726257324,1308.27073431015,8,23,True,ok,V_8 generic,5.7954999804496765,1.0096861837005136
light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,6.070666462182999,157.59122445971215,95.66529253985286,220583.2804965973,1399.718044281006,8,23,True,ok,V_8 generic,6.070666462182999,0.9981589044897887
light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,6.346666440367699,161.99121071197567,95.93545743704831,158948.5138130188,981.2169013023376,8,19,True,ok,V_8 generic,6.346666440367699,1.0260277498039023
light_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.676783449,6.622666418552399,148.8553322090734,85.47486784597643,221125.41875839233,1485.5055272579193,8,23,True,ok,V_8 generic,6.622666418552399,0.9428270884668247
light_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.676976158,6.900166422128677,159.88992836267445,95.61693503144744,227065.96070480347,1420.1392359733582,8,24,True,ok,V_8 generic,6.900167092680931,1.0127185462299533
light_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6771674766,7.1756661683321,157.18561885668672,92.4747758836562,197368.7423171997,1255.6412205696106,8,24,True,ok,V_8 generic,7.1756661683321,0.9955898601425619
light_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.677359375,7.452000081539154,163.8522457693093,103.2341544583242,172898.94860839844,1055.212565422058,8,19,True,ok,V_8 generic,7.452000081539154,1.0378152634831308
light_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.677550463,7.727166563272476,156.087206323262,91.7454560118477,224322.55504989624,1437.1617016792295,8,24,True,ok,V_8 generic,7.727166563272476,0.9886326818174365
light_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.677741667,8.002500012516975,160.4553553701776,102.03073861815052,193333.1411743164,1204.90301322937,8,23,True,ok,V_8 generic,8.002500012516975,1.01629987510352
light_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6779328706,8.277833461761475,159.1897046677727,97.25606086598148,207404.0467529297,1302.8734941482544,8,26,True,ok,V_8 generic,8.277833461761475,1.0082834355910382
light_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6781244213,8.553666472434998,154.47604008364092,95.16186095452848,153637.23175048828,994.5699777603148,8,17,True,ok,V_8 generic,8.553666472434998,0.9784277993171281
light_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.678316204,8.829833418130875,155.47488837849372,92.23147688111554,216752.25330352783,1394.1303033828735,8,25,True,ok,V_8 generic,8.829833418130875,0.9847543528619711
light_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.6785078705,9.105833396315576,156.2005418713476,97.02820382733888,197608.60961914065,1265.0955448150637,8,25,True,ok,V_8 generic,9.105833396315575,0.9893505319826645
