sequence,file,jd,diff_flux,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason,check_diff_flux,minutes_combined,diff_flux_norm,check_diff_flux_norm
V0399 named,light_V0399_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.691357754,130.14214196617257,197522.26099777225,1517.7425084114075,4,True,ok,185.80519704498292,27.60966584086418,0.9976484901820892,0.9827143645650448
V0399 named,light_V0399_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.6915494213,128.19133782980796,221708.6342277527,1729.5133819580078,4,True,ok,190.7249453217722,27.885666489601135,0.9826939430086532,1.008734666357112
V0399 named,light_V0399_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6917408565,131.79629902642418,159362.80712890625,1209.1599559783936,4,True,ok,187.2488874250115,28.161333203315735,1.010328989125414,0.9903499705491713
V0399 named,light_V0399_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.691932523,128.60104470685638,221685.6000213623,1723.824254512787,4,True,ok,185.25483352892346,28.437333181500435,0.9858346892813773,0.9798035195425925
V0399 named,light_V0399_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.692123727,128.7590991062638,223261.77835083008,1733.9495220184326,4,True,ok,188.2869228611779,28.712666630744934,0.9870463085966366,0.9958400878885765
V0399 named,light_V0399_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.6923153936,131.1625042139926,232005.79425048828,1768.8423657417297,4,True,ok,190.41747055643194,28.988666608929634,1.0054704211922691,1.0071084477504926
V0399 named,light_V0399_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6925069443,129.3336341737793,223778.26028060913,1730.2402558326721,4,True,ok,188.24132475103264,29.264499619603157,0.9914506009649956,0.9955989217718616
V0399 named,light_V0399_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.692698148,131.06268939152775,234296.61059570312,1787.6682653427124,4,True,ok,186.50492873018692,29.539833068847656,1.0047052570000605,0.9864152103396913
V0399 named,light_V0399_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.6928898147,130.8195741458423,228764.4548339844,1748.7020297050476,4,True,ok,186.44223196834818,29.815833047032356,1.0028415750740216,0.9860836103120789
V0399 named,light_V0399_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.6930810185,129.2445047890222,220096.73046875,1702.9484605789185,4,True,ok,189.7843012207706,30.091166496276855,0.9907673496000619,1.0037596469028722
