precession_period_hr,superhump_period_min,superhump_period_s,orbital_period_s,N,k,dof,chi2,reduced_chi2,aic_chi2,bic_chi2,sse,bic_sse,rms_pct,fundamental_amp_pct,harmonic_amp_pct,fundamental_phase_cycles,harmonic_phase_cycles,delta_chi2
19.108369456485498,17.40583480420003,1044.3500882520018,1028.7322,138,5,133,340.4945379761151,2.560109308091091,350.4945379761151,365.1308064019011,0.028740413379079545,-1145.1489801999114,1.4431350077722938,0.7340315166052535,0.892117373622939,0.7726589542861049,0.7318611515918423,4.030898335962604
19.116372124041348,17.40572418223354,1044.3434509340125,1028.7322,138,5,133,340.4994074859636,2.560145920947095,350.4994074859636,365.1356759117496,0.028740883276704113,-1145.1467239574129,1.4431468051485417,0.7340128778619504,0.892100638532084,0.7726323923604791,0.7318249153366034,4.035767845811108
19.124374791597198,17.405613654251752,1044.3368192551052,1028.7322,138,5,133,340.50427565704365,2.5601825237371703,350.50427565704365,365.14054408282965,0.02874135299608029,-1145.144468607652,1.4431585979532526,0.7339942574834856,0.892083898512127,0.7726058523265449,0.7317887094882447,4.040636016891142
19.13237745915305,17.40550322013494,1044.3301932080963,1028.7322,138,5,133,340.5091424871284,2.560219116444574,350.5091424871284,365.1454109129144,0.028741822537117274,-1145.1422141510218,1.4431703861842589,0.7339756554439257,0.8920671535946273,0.772579334157267,0.7317525340088432,4.0455028469758645
19.140380126708905,17.405392879763586,1044.323572785815,1028.7322,138,5,133,340.51400797400584,2.5602556990526755,350.51400797400584,365.15027639979184,0.028742291899725485,-1145.139960587909,1.4431821698394234,0.7339570717174051,0.8920504038110375,0.7725528378256409,0.7317163888605422,4.050368333853328
19.148382794264755,17.405282633018363,1044.3169579811017,1028.7322,138,5,133,340.5188721154726,2.560292271544907,350.5188721154726,365.1551405412586,0.02874276108381578,-1145.1377079186982,1.4431939489166206,0.7339385062780787,0.8920336491927292,0.7725263633047125,0.7316802740055413,4.0552324753201106
19.156385461820605,17.405172479780166,1044.31034878681,1028.7322,138,5,133,340.5237349093356,2.5603288339047787,350.5237349093356,365.1600033351216,0.028743230089299805,-1145.135456143771,1.443205723413744,0.7339199591001552,0.8920168897709609,0.7724999105675745,0.7316441894061106,4.06009526918308
19.16438812937646,17.40506241993008,1044.3037451958048,1028.7322,138,5,133,340.5285963534143,2.560365386115897,350.5285963534143,365.1648647792003,0.028743698916090014,-1145.1332052635041,1.4432174933287085,0.7339014301579025,0.8920001255768957,0.7724734795873531,0.7316081350245743,4.064956713261779
19.172390796932312,17.40495245334939,1044.2971472009635,1028.7322,138,5,133,340.53345644553633,2.5604019281619275,350.53345644553633,365.16972487132233,0.02874416756409942,-1145.1309552782723,1.443229258659442,0.7338829194256216,0.8919833566416093,0.7724470703372294,0.7315721108233229,4.069816805383823
19.180393464488162,17.404842579919592,1044.2905547951755,1028.7322,138,5,133,340.53831518354224,2.5604384600266332,350.53831518354224,365.17458360932824,0.028744636033241882,-1145.1287061884454,1.443241019403894,0.7338644268776642,0.8919665829960864,0.7724206827904282,0.7315361167648112,4.074675543389731
