file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,8.0,283.6239043067718,0.7703270502943982,215558.9920463562,760.0170111656189,11,True,True,ok
light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,8.0,275.5529678876339,0.713285996228366,222153.91143798828,806.2112817764282,11,True,True,ok
light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,8.0,276.66323416649385,0.8840322961649186,197853.26067352295,715.1411399841309,11,True,True,ok
light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,8.0,216.81412728414057,0.506901455278186,226050.49810028076,1042.6004104614258,11,True,True,ok
light_V0399_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.690974884,8.0,184.4826911799217,0.6660312889610482,191763.0636291504,1039.4637155532837,11,True,True,ok
light_V0399_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.691166551,8.0,162.51281447725285,0.40950750412403064,219161.3501586914,1348.5788850784302,11,True,True,ok
light_V0399_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.691357754,8.0,183.76281109354454,0.6280076459305141,197522.26099777222,1074.876139640808,11,True,True,ok
light_V0399_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.6915494213,8.0,145.15340651828302,0.36344217039032967,221708.6342277527,1527.409101486206,11,True,True,ok
light_V0399_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6917408565,8.0,144.161472484805,0.7475997198275222,159362.80712890625,1105.4465827941895,11,True,True,ok
light_V0399_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.691932523,8.0,149.3843220036259,0.3738638337985464,221685.6000213623,1483.9950876235962,11,True,True,ok
light_V0399_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.692123727,8.0,145.3143951524039,0.3574567548264762,223261.77835083008,1536.4051036834717,11,True,True,ok
light_V0399_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.6923153936,8.0,160.42412722106747,0.36791201407834895,232005.79425048828,1446.2026271820068,11,True,True,ok
light_V0399_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6925069443,8.0,169.22821600276362,0.43590797290327926,223778.26028060913,1322.3460340499878,11,True,True,ok
light_V0399_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.692698148,8.0,171.46587821956726,0.3720013349246515,234296.61059570312,1366.432861328125,11,True,True,ok
light_V0399_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.6928898147,8.0,303.45969190440076,0.7308554632271345,228764.45483398438,753.8545017242432,11,True,True,ok
light_V0399_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.6930810185,8.0,243.26786670978646,0.6321918485732889,220096.73046875,904.7505264282227,11,True,True,ok
light_V0399_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.693271991,8.0,445.6796942338277,1.3051399392345615,213253.86248779297,478.4913139343262,11,True,True,ok
light_V0399_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6934636575,8.0,281.12194014119825,0.8598972165428065,200717.47729492188,713.9872369766235,11,True,True,ok
light_V0399_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.6936555556,8.0,552.5677467632761,1.2589271228757444,232114.93785858154,420.06602668762207,11,True,True,ok
light_V0399_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.6938471063,8.0,608.2250313304139,1.6283361134976728,215924.53985214233,355.0076513290405,11,True,True,ok
light_V0399_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6940381946,8.0,865.7247208769419,2.0975263759951783,224973.28406524658,259.86699771881104,11,True,True,ok
light_V0399_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.6942291665,8.0,714.9306259006872,1.809481763425203,222195.40621948242,310.79296112060547,11,True,True,ok
light_V0399_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.694420139,8.0,1823.471659448849,4.477827626625245,227051.23852348328,124.51591300964355,11,True,True,ok
light_V0399_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.6946113426,8.0,1587.0571238698403,3.2324285915075244,241749.15566825867,152.3254280090332,11,True,True,ok
light_V0399_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6948032407,8.0,3426.4559919253984,6.99549436749697,238632.84550857544,69.64421725273132,10,True,True,ok
light_V0399_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6949944445,8.0,5894.8248322024,13.211503424552362,233578.30480575562,39.6242995262146,11,True,True,ok
light_V0399_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.695186111,8.0,4143.538290832657,12.430961172862784,205907.8310699463,49.6937198638916,11,True,True,ok
light_V0399_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.695378125,8.0,9563.078388848204,20.007310710854465,241943.83304786682,25.299785614013672,11,True,True,ok
light_V0399_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.695569792,8.0,7145.0437091271615,14.5825713764699,239898.8376083374,33.57555913925171,8,True,True,ok
light_V0399_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.695762153,8.0,10087.566086907013,18.852893132735815,250873.67641448975,24.86959433555603,8,True,True,ok
light_V0399_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.6959542823,8.0,6060.958772031911,25.11708739374121,182873.85451507568,30.17243003845215,11,True,True,ok
light_V0399_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.69614699,8.0,8712.901595751915,18.48813877990665,239068.60704612732,27.4384605884552,8,True,True,ok
light_V0399_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.696338542,8.0,6372.369847344946,13.091677429264443,238322.09629440308,37.399288177490234,7,True,True,ok
