file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,207.59482831550895,208.27229260654462,8568.022050857544,41.27281069755554,8,True,True,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,263.8248026306307,757.7897579283789,2906.4553747177124,11.016611576080322,3,True,True,ok
light_V0399_V_8s_2026_05_20-0055_flat_0p3_early_bias_cal.fits,2461181.699405208,8.0,427.7101683548716,1293.576115324983,2908.4144401550293,6.7999656200408936,6,True,True,ok
light_V0399_V_8s_2026_05_20-0056_flat_0p3_early_bias_cal.fits,2461181.699596991,8.0,,,1622.8614797592163,,1,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0057_flat_0p3_early_bias_cal.fits,2461181.699788773,8.0,,,436.48314476013184,,0,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0058_flat_0p3_early_bias_cal.fits,2461181.6999804396,8.0,,,535.2919435501099,,0,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0059_flat_0p3_early_bias_cal.fits,2461181.7001721063,8.0,,,259.3542060852051,,1,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0060_flat_0p3_early_bias_cal.fits,2461181.7003641203,8.0,,,224.2789888381958,,0,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0061_flat_0p3_early_bias_cal.fits,2461181.70055544,8.0,,,97.95398139953613,,1,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0062_flat_0p3_early_bias_cal.fits,2461181.700747222,8.0,41.6125436389855,254.42495665135255,101.04732894897461,2.4282901287078857,2,True,True,ok
light_V0399_V_8s_2026_05_20-0063_flat_0p3_early_bias_cal.fits,2461181.70093831,8.0,,,97.2914891242981,,0,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0064_flat_0p3_early_bias_cal.fits,2461181.701130209,8.0,,,93.05081939697266,,0,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0065_flat_0p3_early_bias_cal.fits,2461181.7013217593,8.0,6.491997476875312,46.91425547835741,55.44122791290283,8.539933681488037,2,True,True,ok
light_V0399_V_8s_2026_05_20-0066_flat_0p3_early_bias_cal.fits,2461181.701513542,8.0,6.3012318927589845,56.822470405520846,38.01056957244873,6.0322442054748535,2,True,True,ok
light_V0399_V_8s_2026_05_20-0067_flat_0p3_early_bias_cal.fits,2461181.70170544,8.0,17.625021686168022,192.213606210405,23.78528928756714,1.3495182991027832,3,True,True,ok
light_V0399_V_8s_2026_05_20-0068_flat_0p3_early_bias_cal.fits,2461181.7018971066,8.0,,,28.901641845703125,,1,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0069_flat_0p3_early_bias_cal.fits,2461181.7020890047,8.0,,,57.67658233642578,,1,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0070_flat_0p3_early_bias_cal.fits,2461181.702280787,8.0,,,7.08192777633667,,0,True,False,too_few_comparisons
light_V0399_V_8s_2026_05_20-0071_flat_0p3_early_bias_cal.fits,2461181.7024725694,8.0,,,-3.349611282348633,,1,True,False,nonpositive_flux
light_V0399_V_8s_2026_05_20-0072_flat_0p3_early_bias_cal.fits,2461181.7026641206,8.0,3.3193514365623495,49.54306680697975,4.52626371383667,1.3635988235473633,4,True,True,ok
